Package         Version Latest      Type
--------------- ------- ----------- -----
contourpy       1.0.6   1.3.1       wheel
cycler          0.11.0  0.12.1      wheel
fonttools       4.38.0  4.55.8      wheel
kiwisolver      1.4.4   1.4.8       wheel
matplotlib      3.6.2   3.10.0      wheel
numpy           1.23.5  2.2.2       wheel
packaging       21.3    24.2        wheel
pandas          1.5.1   2.2.3       wheel
Pillow          9.3.0   11.1.0      wheel
pyparsing       3.0.9   3.2.1       wheel
python-dateutil 2.8.2   2.9.0.post0 wheel
pytz            2022.6  2025.1      wheel
scipy           1.9.3   1.15.1      wheel
seaborn         0.10.1  0.13.2      wheel
setuptools      65.5.0  75.8.0      wheel
six             1.16.0  1.17.0      wheel
